順位,名前(ターゲット内表記),フルネーム(JRA-VANデータ内表記),読み(半角仮名/欧字),欧字表記名,所属,年齢,誕生日,免許取得年,キャリア,本年着度数,1着数,2着数,3着数,着外数,総数,勝率,連対率,複勝率,前年着度数,前年1着,前年2着,前年3着,前年着外,前年総数,前年勝率,前年連対率,前年複勝率,生涯着度数,生涯1着,生涯2着,生涯3着,生涯着外,生涯総数,生涯勝率,生涯連対率,生涯複勝率,コード,現役・抹消,チェック,勝数前年比,総レース数前年比,コメント,本年順位(平地),前年順位(平地)
589,河内洋　,"河内 洋","ｶﾜﾁ ﾋﾛｼ","Hiroshi Kawachi",栗東,71,1955. 2.22,,,,,,,,,,,,,,,,,,,,,,2111,1796,1601,9432,14940,14.1,26.2,36.9,00367,抹消,0,,,,,
590,川島信二,"川島 信二","ｶﾜｼﾏ ｼﾝｼﾞ","Shinji Kawashima",栗東,43,1982.11.24,,,,,,,,,,,,,,,,,,,,,,341,374,422,5676,6813,5.0,10.5,16.7,01062,抹消,0,,,,,
591,河北通　,"河北 通","ｶﾜｷﾀ ﾄｵﾙ","Toru Kawakita",栗東,53,1972.10.10,,,,,,,,,,,,,,,,,,,,,,205,203,212,2496,3116,6.6,13.1,19.9,00698,抹消,0,,,,,
592,川合達彦,"川合 達彦","ｶﾜｲ ﾀﾂﾋｺ","Tatsuhiko Kawai",栗東,51,1974. 6. 3,,,,,,,,,,,,,,,,,,,,,,49,42,48,849,988,5.0,9.2,14.1,00721,抹消,0,,,,,
593,加用正　,"加用 正","ｶﾖｳ ﾀﾀﾞｼ","Tadashi Kayo",栗東,72,1953. 5.17,,,,,,,,,,,,,,,,,,,,,,559,571,553,3810,5493,10.2,20.6,30.6,00516,抹消,0,,,,,
594,鎌田祐一,"鎌田 祐一","ｶﾏﾀ ﾕｳｲﾁ",,栗東,76,1949.12.16,,,,,,,,,,,,,,,,,,,,,,108,112,98,1020,1338,8.1,16.4,23.8,00149,抹消,0,,,,,
595,鎌田光也,"鎌田 光也","ｶﾏﾀ ﾐﾂﾔ",M.Kamata,栗東,74,1952. 3. 3,,,,,,,,,,,,,,,,,,,,,,102,99,98,786,1085,9.4,18.5,27.6,00332,抹消,0,,,,,
596,金折知則,"金折 知則","ｶﾅｵﾘ ﾄﾓﾉﾘ","Tomonori Kanaori",栗東,49,1977. 2.11,,,,,,,,,,,,,,,,,,,,,,130,172,166,2537,3005,4.3,10.0,15.6,01003,抹消,0,,,,,
597,嘉堂信雄,"嘉堂 信雄","ｶﾄﾞｳ ﾉﾌﾞｵ","Nobuo Kado",栗東,72,1953. 7.28,,,,,,,,,,,,,,,,,,,,,,220,240,241,1257,1958,11.2,23.5,35.8,00561,抹消,0,,,,,
598,鍜治谷誠,"鍜治谷 誠","ｶｼﾞﾀﾆ ﾏｺﾄ",M.Kajitani,栗東,74,1951. 6. 9,,,,,,,,,,,,,,,,,,,,,,62,93,91,990,1236,5.0,12.5,19.9,00515,抹消,0,,,,,
599,柿元嘉和,"柿元 嘉和","ｶｷﾓﾄ ﾖｼｶｽﾞ","Yoshikazu Kakimoto",栗東,60,1966. 1.23,,,,,,,,,,,,,,,,,,,,,,109,162,143,1997,2411,4.5,11.2,17.2,00640,抹消,0,,,,,
600,小原義之,"小原 義之","ｵﾊﾞﾗ ﾖｼﾕｷ","Yoshiyuki Obara",栗東,54,1971. 8.27,,,,,,,,,,,,,,,,,,,,,,199,201,259,2797,3456,5.8,11.6,19.1,00690,抹消,0,,,,,
601,小野幸治,"小野 幸治","ｵﾉ ﾕｷﾊﾙ",,栗東,81,1944. 8.11,,,,,,,,,,,,,,,,,,,,,,317,306,260,1459,2342,13.5,26.6,37.7,00143,抹消,0,,,,,
602,音無秀孝,"音無 秀孝","ｵﾄﾅｼ ﾋﾃﾞﾀｶ","Hidetaka Otonashi",栗東,71,1954. 6.10,,,,,,,,,,,,,,,,,,,,,,84,104,88,936,1212,6.9,15.5,22.8,00585,抹消,0,,,,,
603,押田年郎,"押田 年郎","ｵｼﾀﾞ ﾄｼﾛｳ","Toshiro Oshida",栗東,75,1950. 9.29,,,,,,,,,,,,,,,,,,,,,,204,219,219,1496,2138,9.5,19.8,30.0,00142,抹消,0,,,,,
604,押田純子,"押田 純子","ｵｼﾀﾞ ｼﾞｭﾝｺ","Junko Oshida",栗東,49,1977. 2.27,,,,,,,,,,,,,,,,,,,,,,2,2,9,145,158,1.3,2.5,8.2,01024,抹消,0,,,,,
605,荻野要　,"荻野 要","ｵｷﾞﾉ ｶﾅﾒ","Kaname Ogino",栗東,46,1979. 8.28,,,,,,,,,,,,,,,,,,,,,,45,61,56,998,1160,3.9,9.1,14.0,01033,抹消,0,,,,,
606,小川行雄,"小川 行雄","ｵｶﾞﾜ ﾕｷｵ",,栗東,73,1952.11.26,,,,,,,,,,,,,,,,,,,,,,54,69,53,479,655,8.2,18.8,26.9,00330,抹消,0,,,,,
607,岡冨俊一,"岡冨 俊一","ｵｶﾄﾐ ｼｭﾝｲﾁ","Shunichi Okatomi",栗東,64,1961. 8. 5,,,,,,,,,,,,,,,,,,,,,,230,243,229,2238,2940,7.8,16.1,23.9,00611,抹消,0,,,,,
608,岡潤一郎,"岡 潤一郎","ｵｶ ｼﾞｭﾝｲﾁﾛｳ","Jyunichiro Oka",栗東,57,1968.12. 7,,,,,,,,,,,,,,,,,,,,,,225,219,234,1499,2177,10.3,20.4,31.1,00671,抹消,0,,,,,
609,大森勇一,"大森 勇一","ｵｵﾓﾘ ﾕｳｲﾁ","Yuichi Omori",栗東,64,1961.12.16,,,,,,,,,,,,,,,,,,,,,,25,32,47,289,393,6.4,14.5,26.5,00649,抹消,0,,,,,
610,大下智　,"大下 智","ｵｵｼﾀ ｻﾄｼ","Satoshi Oshita",栗東,39,1986. 5.12,,,,,,,,,,,,,,,,,,,,,,17,20,20,768,825,2.1,4.5,6.9,01111,抹消,0,,,,,
611,大久保光,"大久保 光康","ｵｵｸﾎﾞ ﾐﾂﾔｽ",M.Okubo,栗東,82,1943.12.13,,,,,,,,,,,,,,,,,,,,,,64,82,100,705,951,6.7,15.4,25.9,00135,抹消,0,,,,,
612,大久保哲,"大久保 哲男","ｵｵｸﾎﾞ ﾃﾂｵ",,栗東,86,1939. 3.14,,,,,,,,,,,,,,,,,,,,,,143,161,153,1017,1474,9.7,20.6,31.0,00134,抹消,0,,,,,
613,榮森己喜,"榮森 己喜男","ｴﾓﾘ ﾐｷｵ",,栗東,72,1953. 5. 3,,,,,,,,,,,,,,,,,,,,,,75,84,86,781,1026,7.3,15.5,23.9,00341,抹消,0,,,,,
614,梅野信一,"梅野 信一","ｳﾒﾉ ｼﾝｲﾁ","Shinichi Umeno",栗東,67,1959. 3. 3,,,,,,,,,,,,,,,,,,,,,,99,97,108,1483,1787,5.5,11.0,17.0,00584,抹消,0,,,,,
615,梅田守　,"梅田 守","ｳﾒﾀﾞ ﾏﾓﾙ",M.Umeda,栗東,78,1947. 3.22,,,,,,,,,,,,,,,,,,,,,,71,81,87,872,1111,6.4,13.7,21.5,00128,抹消,0,,,,,
616,梅内忍　,"梅内 忍","ｳﾒｳﾁ ｼﾉﾌﾞ",,栗東,81,1944. 4. 1,,,,,,,,,,,,,,,,,,,,,,253,245,254,1622,2374,10.7,21.0,31.7,00130,抹消,0,,,,,
617,内山正博,"内山 正博","ｳﾁﾔﾏ ﾏｻﾋﾛ","Masahiro Uchiyama",栗東,62,1963. 3.19,,,,,,,,,,,,,,,,,,,,,,255,304,305,2811,3675,6.9,15.2,23.5,00628,抹消,0,,,,,
618,内田浩一,"内田 浩一","ｳﾁﾀﾞ ｺｳｲﾁ","Koichi Uchida",栗東,57,1968. 9.28,,,,,,,,,,,,,,,,,,,,,,320,353,391,4717,5781,5.5,11.6,18.4,00670,抹消,0,,,,,
619,内田国夫,"内田 国夫","ｳﾁﾀﾞ ｸﾆｵ","Kunio Uchida",栗東,75,1951. 1. 1,,,,,,,,,,,,,,,,,,,,,,296,373,345,2691,3705,8.0,18.1,27.4,00126,抹消,0,,,,,
620,宇田登志,"宇田 登志夫","ｳﾀﾞ ﾄｼｵ","Toshio Uda",栗東,45,1980. 7.29,,,,,,,,,,,,,,,,,,,,,,38,41,53,881,1013,3.8,7.8,13.0,01041,抹消,0,,,,,
621,上村洋行,"上村 洋行","ｳｴﾑﾗ ﾋﾛﾕｷ","Hiroyuki Uemura",栗東,52,1973.10.23,,,,,,,,,,,,,,,,,,,,,,570,547,589,6174,7880,7.2,14.2,21.6,00709,抹消,0,,,,,
622,植野貴也,"植野 貴也","ｳｴﾉ ﾀｶﾔ","Takaya Ueno",栗東,50,1975. 7. 1,,,,,,,,,,,,,,,,,,,,,,242,262,275,2727,3506,6.9,14.4,22.2,00727,抹消,0,,,,,
623,上野清章,"上野 清章","ｳｴﾉ ｷﾖｱｷ","Kiyoaki Ueno",栗東,76,1950. 2. 7,,,,,,,,,,,,,,,,,,,,,,561,494,375,3960,5390,10.4,19.6,26.5,00123,抹消,0,,,,,
624,上田悟　,"上田 悟","ｳｴﾀﾞ ｻﾄﾙ",S.Ueda,栗東,66,1959. 8.30,,,,,,,,,,,,,,,,,,,,,,61,51,72,825,1009,6.0,11.1,18.2,00558,抹消,0,,,,,
625,上籠勝仁,"上籠 勝仁","ｳｴｺﾞﾓﾘ ｶﾂﾋﾄ","Katsuhito Uegomori",栗東,59,1967. 3. 6,,,,,,,,,,,,,,,,,,,,,,118,122,151,1848,2239,5.3,10.7,17.5,00639,抹消,0,,,,,
626,岩元市三,"岩元 市三","ｲﾜﾓﾄ ｲﾁｿﾞｳ",I.Iwamoto,栗東,78,1947.10.30,,,,,,,,,,,,,,,,,,,,,,578,557,514,3268,4917,11.8,23.1,33.5,00365,抹消,0,,,,,
627,岩崎祐己,"岩崎 祐己","ｲﾜｻｷ ﾕｳｷ","Yuki Iwasaki",栗東,43,1983. 1. 8,,,,,,,,,,,,,,,,,,,,,,63,106,114,1486,1769,3.6,9.6,16.0,01071,抹消,0,,,,,
628,岩崎善四,"岩崎 善四郎","ｲﾜｻｷ ｾﾞﾝｼﾛｳ",,栗東,77,1948.12. 4,,,,,,,,,,,,,,,,,,,,,,32,56,52,527,667,4.8,13.2,21.0,00121,抹消,0,,,,,
629,今村康成,"今村 康成","ｲﾏﾑﾗ ﾔｽﾅﾘ","Yasunari Imamura",栗東,47,1978.10.19,,,,,,,,,,,,,,,,,,,,,,45,44,52,932,1073,4.2,8.3,13.1,01022,抹消,0,,,,,
630,今村倭夫,"今村 倭夫","ｲﾏﾑﾗ ﾏｻｵ",,栗東,82,1944. 2.28,,,,,,,,,,,,,,,,,,,,,,139,147,180,1146,1612,8.6,17.7,28.9,00120,抹消,0,,,,,
631,今岡正　,"今岡 正","ｲﾏｵｶ ﾀﾀﾞｼ",T.Imaoka,栗東,76,1949.11.16,,,,,,,,,,,,,,,,,,,,,,174,182,212,1290,1858,9.4,19.2,30.6,00119,抹消,0,,,,,
632,稲葉的海,"稲葉 的海","ｲﾅﾊﾞ ﾏﾄﾐ",M.Inaba,栗東,72,1953.12.27,,,,,,,,,,,,,,,,,,,,,,116,135,149,1316,1716,6.8,14.6,23.3,00364,抹消,0,,,,,
633,伊藤稔　,"伊藤 稔","ｲﾄｳ ﾐﾉﾙ",Mi.Ito,栗東,71,1954. 3.15,,,,,,,,,,,,,,,,,,,,,,119,143,172,1216,1650,7.2,15.9,26.3,00363,抹消,0,,,,,
634,出津孝一,"出津 孝一","ｲﾃﾞﾂ ｺｳｲﾁ","Koichi Idetsu",栗東,61,1964. 6. 3,,,,,,,,,,,,,,,,,,,,,,164,179,180,1257,1780,9.2,19.3,29.4,00627,抹消,0,,,,,
635,市丸繁　,"市丸 繁","ｲﾁﾏﾙ ｼｹﾞﾙ",S.Ichimaru,栗東,79,1946. 6. 5,,,,,,,,,,,,,,,,,,,,,,87,108,134,1317,1646,5.3,11.8,20.0,00114,抹消,0,,,,,
636,井高淳一,"井高 淳一","ｲﾀﾞｶ ｼﾞﾕﾝｲﾁ",,栗東,78,1947. 5.16,,,,,,,,,,,,,,,,,,,,,,102,107,92,999,1300,7.8,16.1,23.2,00113,抹消,0,,,,,
637,石山繁　,"石山 繁","ｲｼﾔﾏ ｼｹﾞﾙ","Shigeru Ishiyama",栗東,49,1977. 3. 2,,,,,,,,,,,,,,,,,,,,,,92,105,117,1701,2015,4.6,9.8,15.6,01002,抹消,0,,,,,
638,石橋守　,"石橋 守","ｲｼﾊﾞｼ ﾏﾓﾙ","Mamoru Ishibashi",栗東,59,1966.10.23,,,,,,,,,,,,,,,,,,,,,,473,570,616,7809,9468,5.0,11.0,17.5,00637,抹消,0,,,,,
639,石崎譲　,"石崎 譲","ｲｼｻﾞｷ ﾕｽﾞﾙ",,栗東,68,1958. 2.19,,,,,,,,,,,,,,,,,,,,,,29,24,41,361,455,6.4,11.6,20.7,00534,抹消,0,,,,,
640,池田雄彦,"池田 雄彦","ｲｹﾀﾞ ﾕｳﾋｺ",Yu.Ikeda,栗東,66,1959. 4.29,,,,,,,,,,,,,,,,,,,,,,25,23,35,450,533,4.7,9.0,15.6,00604,抹消,0,,,,,
641,池添兼雄,"池添 兼雄","ｲｹｿﾞｴ ｶﾈｵ",K.Ikezoe,栗東,73,1952.10.22,,,,,,,,,,,,,,,,,,,,,,185,146,162,1094,1587,11.7,20.9,31.1,00361,抹消,0,,,,,
642,池江泰郎,"池江 泰郎","ｲｹｴ ﾔｽｵ","Yasuo Ikee",栗東,85,1941. 3. 1,,,,,,,,,,,,,,,,,,,,,,368,354,332,2222,3276,11.2,22.0,32.2,00109,抹消,0,,,,,
643,五十嵐忠,"五十嵐 忠男","ｲｶﾞﾗｼ ﾀﾀﾞｵ","Tadao Igarashi",栗東,73,1952.11. 9,,,,,,,,,,,,,,,,,,,,,,176,213,204,1991,2584,6.8,15.1,22.9,00340,抹消,0,,,,,
644,飯田祐史,"飯田 祐史","ｲｲﾀﾞ ﾕｳｼﾞ","Yuji Iida",栗東,51,1974.11.18,,,,,,,,,,,,,,,,,,,,,,380,407,412,4755,5954,6.4,13.2,20.1,00718,抹消,0,,,,,
645,飯田明弘,"飯田 明弘","ｲｲﾀﾞ ｱｷﾋﾛ",A.Iida,栗東,79,1946.12. 9,,,,,,,,,,,,,,,,,,,,,,632,600,557,3516,5305,11.9,23.2,33.7,00108,抹消,0,,,,,
646,安藤光彰,"安藤 光彰","ｱﾝﾄﾞｳ ﾐﾂｱｷ","Mitsuaki Ando",栗東,67,1959. 1. 5,,,,,,,,,,,,,,,,,,,,,,68,99,91,1897,2155,3.2,7.7,12.0,00836,抹消,0,,,,,
647,安藤正敏,"安藤 正敏","ｱﾝﾄﾞｳ ﾏｻﾄｼ","Masatoshi Ando",栗東,88,1937.10. 8,,,,,,,,,,,,,,,,,,,,,,272,300,299,1604,2475,11.0,23.1,35.2,00106,抹消,0,,,,,
648,安藤賢一,"安藤 賢一","ｱﾝﾄﾞｳ ｹﾝｲﾁ","Kenichi Ando",栗東,67,1958. 9.29,,,,,,,,,,,,,,,,,,,,,,201,204,203,1836,2444,8.2,16.6,24.9,00557,抹消,0,,,,,
649,安藤勝己,"安藤 勝己","ｱﾝﾄﾞｳ ｶﾂﾐ","Katsumi Ando",栗東,65,1960. 3.28,,,,,,,,,,,,,,,,,,,,,,1111,885,755,3842,6593,16.9,30.3,41.7,00945,抹消,0,,,,,
650,新井仁　,"新井 仁","ｱﾗｲ ﾋﾄｼ",,栗東,87,1938. 9.25,,,,,,,,,,,,,,,,,,,,,,127,166,134,1083,1510,8.4,19.4,28.3,00105,抹消,0,,,,,
651,安達昭夫,"安達 昭夫","ｱﾀﾞﾁ ｱｷｵ","Akio Adachi",栗東,66,1959.10.27,,,,,,,,,,,,,,,,,,,,,,125,166,147,1541,1979,6.3,14.7,22.1,00583,抹消,0,,,,,
652,秋山忠一,"秋山 忠一","ｱｷﾔﾏ ﾁｭｳｲﾁ",C.Akiyama,栗東,74,1951. 6.17,,,,,,,,,,,,,,,,,,,,,,216,195,210,1291,1912,11.3,21.5,32.5,00359,抹消,0,,,,,
653,秋山真一,"秋山 真一郎","ｱｷﾔﾏ ｼﾝｲﾁﾛｳ","Shinichiro Akiyama",栗東,47,1979. 2. 9,,,,,,,,,,,,,,,,,,,,,,1059,1033,1084,10367,13543,7.8,15.4,23.5,01019,抹消,0,,,,,
654,秋元松雄,"秋元 松雄","ｱｷﾓﾄ ﾏﾂｵ",,栗東,80,1945. 8.26,,,,,,,,,,,,,,,,,,,,,,47,56,60,572,735,6.4,14.0,22.2,00102,抹消,0,,,,,
655,赤木高太,"赤木 高太郎","ｱｶｷﾞ ｺｳﾀﾛｳ","Kotaro Akagi",栗東,56,1970. 1.21,,,,,,,,,,,,,,,,,,,,,,196,228,213,3080,3717,5.3,11.4,17.1,05223,抹消,0,,,,,
656,矢野貴之,"矢野 貴之","ﾔﾉ ﾀｶﾕｷ","Takayuki Yano",地方,41,1984. 8. 3,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  0-  1-  8( 10)",1,0,1,8,10,10.0,10.0,20.0,"  1-  0-  1- 21( 23)",1,0,1,21,23,4.3,4.3,8.7,05380,,0,,,,,129
657,ハマーハ,Ｔ．ハマーハンセン,ﾊﾏｰﾊﾝｾﾝ.ﾄｰﾙ,"Thore Hammer Hansen",外国,26,1999.10.17,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  2-  0-  0-  3(  5)",2,0,0,3,5,40.0,40.0,40.0,"  2-  0-  0-  3(  5)",2,0,0,3,5,40.0,40.0,40.0,05676,,0,,,,,119
658,渡辺正彦,"渡辺 正彦","ﾜﾀﾅﾍﾞ ﾏｻﾋｺ","Masahiko Watanabe",地方,59,1967. 1. 1,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,05113,,0,,,,,
659,渡辺竜也,"渡辺 竜也","ﾜﾀﾅﾍﾞ ﾀﾂﾔ","Tatsuya Watanabe",地方,25,2000. 3. 8,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  4- 26( 30)",0,0,4,26,30,0.0,0.0,13.3,"  1-  1-  5- 34( 41)",1,1,5,34,41,2.4,4.9,17.1,05558,,0,,,,,139
660,渡辺壮　,"渡辺 壮","ﾜﾀﾅﾍﾞ ﾀｹｼ","Takeshi Watanabe",地方,58,1968. 1. 7,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  1-  0- 18( 20)",1,1,0,18,20,5.0,10.0,10.0,00886,,0,,,,,
661,渡辺正治,"渡辺 正治","ﾜﾀﾅﾍﾞ ｼｮｳｼﾞ","Shoji Watanabe",地方,69,1956.12.13,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1-  8(  9)",0,0,1,8,9,0.0,0.0,11.1,00804,,0,,,,,
662,渡辺市郎,"渡辺 市郎","ﾜﾀﾅﾍﾞ ｲﾁﾛｳ",I.Watanabe,地方,75,1951. 1. 9,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,00952,,0,,,,,
663,渡瀬和幸,"渡瀬 和幸","ﾜﾀｾ ｶｽﾞﾕｷ","Kazuyuki Watase",地方,46,1979.11. 6,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05338,,0,,,,,
664,和田正美,"和田 正美","ﾜﾀﾞ ﾏｻﾐ","Masami Wada",地方,65,1960.12. 9,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05038,,0,,,,,
665,和田譲治,"和田 譲治","ﾜﾀﾞ ｼﾞｮｳｼﾞ","Joji Wada",地方,42,1984. 2.11,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  6(  6)",0,0,0,6,6,0.0,0.0,0.0,05399,,0,,,,,
666,脇本一幸,"脇本 一幸","ﾜｷﾓﾄ ｶｽﾞﾕｷ",K.Wakimoto,地方,53,1972.10.16,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,00577,,0,,,,,
667,若杉朝飛,"若杉 朝飛","ﾜｶｽｷﾞ ｱｻﾄ","Asato Wakasugi",地方,23,2002. 7.25,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05608,,0,,,,,
668,頼本盛行,"頼本 盛行","ﾖﾘﾓﾄ ﾓﾘﾕｷ",M.Yorimoto,地方,64,1961.10.27,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,00818,,0,,,,,
669,米山哲郎,"米山 哲郎","ﾖﾈﾔﾏ ﾃﾂﾛｳ","Tetsuro Yoneyama",地方,52,1973.10. 8,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0- 12( 12)",0,0,0,12,12,0.0,0.0,0.0,05149,,0,,,,,
670,米田真由,"米田 真由美","ﾖﾈﾀﾞ ﾏﾕﾐ","Mayumi Yoneda",地方,52,1974. 2.27,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05172,,0,,,,,
671,米田幸治,"米田 幸治","ﾖﾈﾀﾞ ｺｳｼﾞ","Koji Yoneda",地方,58,1967. 9.26,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05326,,0,,,,,
672,米田弘一,"米田 弘一","ﾖﾈﾀﾞ ｺｳｲﾁ","Koichi Yoneda",地方,52,1973. 4. 2,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  7(  7)",0,0,0,7,7,0.0,0.0,0.0,05207,,0,,,,,
673,米倉知　,"米倉 知","ﾖﾈｸﾗ ｻﾄｼ","Satoshi Yonekura",地方,50,1975.11.26,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  6(  6)",0,0,0,6,6,0.0,0.0,0.0,05296,,0,,,,,
674,米川昇　,"米川 昇","ﾖﾈｶﾜ ﾉﾎﾞﾙ","Noboru Yonekawa",地方,65,1960. 3.27,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  5-  3- 44( 52)",0,5,3,44,52,0.0,9.6,15.4,00403,,0,,,,,
675,吉本隆記,"吉本 隆記","ﾖｼﾓﾄ ﾀｶﾉﾘ","Takanori Yoshimoto",地方,49,1976.12. 6,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05624,,0,,,,,
676,吉村智洋,"吉村 智洋","ﾖｼﾑﾗ ﾄﾓﾋﾛ","Tomohiro Yoshimura",地方,41,1984.12.26,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  8(  8)",0,0,0,8,8,0.0,0.0,0.0,"  2-  4-  5-112(123)",2,4,5,112,123,1.6,4.9,8.9,05390,,0,,,,,183
677,吉原寛人,"吉原 寛人","ﾖｼﾊﾗ ﾋﾛﾄ","Hiroto Yoshihara",地方,42,1983.10.26,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 12- 14- 11-178(215)",12,14,11,178,215,5.6,12.1,17.2,05299,,0,,,,,
678,吉留孝司,"吉留 孝司","ﾖｼﾄﾞﾒ ｺｳｼ","Koshi Yoshidome",地方,57,1969. 2. 6,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  0-  0-  2(  3)",1,0,0,2,3,33.3,33.3,33.3,05397,,0,,,,,
679,吉田隆二,"吉田 隆二","ﾖｼﾀﾞ ﾘﾕｳｼﾞ","Ryuji Yoshida",地方,60,1965.10.31,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  6(  6)",0,0,0,6,6,0.0,0.0,0.0,05254,,0,,,,,
680,吉田稔　,"吉田 稔","ﾖｼﾀﾞ ﾐﾉﾙ","Minoru Yoshida",地方,57,1969. 2.12,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,160-167-170-2224(2721),160,167,170,2224,2721,5.9,12.0,18.3,05041,,0,,,,,
681,吉田順治,"吉田 順治","ﾖｼﾀﾞ ｼﾞﾕﾝｼﾞ","Junji Yoshida",地方,58,1968. 1.12,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  7(  7)",0,0,0,7,7,0.0,0.0,0.0,05099,,0,,,,,
682,吉田晃浩,"吉田 晃浩","ﾖｼﾀﾞ ｱｷﾋﾛ","Akihiro Yoshida",地方,44,1981.10.27,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0- 14( 14)",0,0,0,14,14,0.0,0.0,0.0,05301,,0,,,,,
683,吉井浩和,"吉井 浩和","ﾖｼｲ ﾋﾛｶｽﾞ","Hirokazu Yoshii",地方,60,1966. 1.18,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,00419,,0,,,,,
684,吉井友彦,"吉井 友彦","ﾖｼｲ ﾄﾓﾋｺ","Tomohiko Yoshii",地方,42,1983.11.16,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  0- 59( 60)",0,1,0,59,60,0.0,1.7,1.7,05451,,0,,,,,
685,吉井章　,"吉井 章","ﾖｼｲ ｼｮｳ","Sho Yoshii",地方,24,2001. 3.26,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  1-  0-  3(  5)",1,1,0,3,5,20.0,40.0,40.0,05583,,0,,,,,
